user_id,full_name,email,phone,recency,frequency,monetary,last_order_date,cluster,label
56,Tran Thanh Thao 55,user55@gmail.com,0900000055,1,4,5368000.0,2026-01-03 16:48:26.463,2,VIP
57,Hoang Xuan Giang 56,user56@gmail.com,0900000056,178,1,1846000.0,2025-07-10 00:00:00.000,0,Vãng lai
60,Dang Hai Vy 59,user59@gmail.com,0900000059,239,2,5409000.0,2025-05-10 00:00:00.000,0,Vãng lai
61,Hoang Huu Khanh 60,user60@gmail.com,0900000060,199,2,1584000.0,2025-06-19 00:00:00.000,0,Vãng lai
62,Huynh Duc Cuong 61,user61@gmail.com,0900000061,361,1,418000.0,2025-01-08 00:00:00.000,0,Vãng lai
63,Hoang Van Son 62,user62@gmail.com,0900000062,296,2,1617000.0,2025-03-14 00:00:00.000,0,Vãng lai
64,Le Duc Son 63,user63@gmail.com,0900000063,1,3,4722000.0,2026-01-03 16:48:26.463,2,VIP
66,Pham Thi Son 65,user65@gmail.com,0900000065,103,3,5155000.0,2025-09-23 00:00:00.000,2,VIP
69,Pham Ngoc Hanh 68,user68@gmail.com,0900000068,248,1,3276000.0,2025-05-01 00:00:00.000,0,Vãng lai
70,Phan Thanh Minh 69,user69@gmail.com,0900000069,353,1,333000.0,2025-01-16 00:00:00.000,0,Vãng lai
71,Vo Thu Binh 70,user70@gmail.com,0900000070,120,7,10802000.0,2025-09-06 00:00:00.000,2,VIP
72,Dang Thu Hung 71,user71@gmail.com,0900000071,113,5,7445000.0,2025-09-13 00:00:00.000,2,VIP
73,Phan Ngoc Nghia 72,user72@gmail.com,0900000072,173,1,1674000.0,2025-07-15 00:00:00.000,0,Vãng lai
74,Dang Thi Giang 73,user73@gmail.com,0900000073,141,3,3390000.0,2025-08-16 00:00:00.000,1,Thường xuyên
75,Huynh Huu Nghia 74,user74@gmail.com,0900000074,3,4,7319000.0,2026-01-01 16:48:26.463,2,VIP
77,Pham Thi Vy 76,user76@gmail.com,0900000076,268,1,796000.0,2025-04-11 00:00:00.000,0,Vãng lai
79,Nguyen Thi Quan 78,user78@gmail.com,0900000078,140,2,2601000.0,2025-08-17 00:00:00.000,1,Thường xuyên
80,Pham Duc Dung 79,user79@gmail.com,0900000079,240,1,2863000.0,2025-05-09 00:00:00.000,0,Vãng lai
81,Nguyen Thi Minh 80,user80@gmail.com,0900000080,3,2,2137000.0,2026-01-01 16:48:26.463,1,Thường xuyên
82,Vu Xuan Binh 81,user81@gmail.com,0900000081,114,3,6221000.0,2025-09-12 00:00:00.000,2,VIP
83,Hoang Ngoc Vy 82,user82@gmail.com,0900000082,222,2,1451000.0,2025-05-27 00:00:00.000,0,Vãng lai
84,Le Duc Quan 83,user83@gmail.com,0900000083,168,1,270000.0,2025-07-20 00:00:00.000,0,Vãng lai
85,Huynh Xuan An 84,user84@gmail.com,0900000084,255,1,2472000.0,2025-04-24 00:00:00.000,0,Vãng lai
86,Le Van Giang 85,user85@gmail.com,0900000085,221,2,5743000.0,2025-05-28 00:00:00.000,0,Vãng lai
87,Pham Ngoc Nam 86,user86@gmail.com,0900000086,260,2,2162000.0,2025-04-19 00:00:00.000,0,Vãng lai
88,Dang Minh Quan 87,user87@gmail.com,0900000087,104,2,2985000.0,2025-09-22 00:00:00.000,1,Thường xuyên
89,Pham Minh Binh 88,user88@gmail.com,0900000088,266,2,2064000.0,2025-04-13 00:00:00.000,0,Vãng lai
90,Hoang Xuan Hung 89,user89@gmail.com,0900000089,0,1,1217000.0,2026-01-04 16:48:26.463,1,Thường xuyên
91,Dang Duc Hung 90,user90@gmail.com,0900000090,237,2,5870000.0,2025-05-12 00:00:00.000,0,Vãng lai
93,Vu Duc Son 92,user92@gmail.com,0900000092,0,3,2172000.0,2026-01-04 16:48:26.463,1,Thường xuyên
94,Pham Thu Cuong 93,user93@gmail.com,0900000093,3,5,9415000.0,2026-01-01 16:48:26.463,2,VIP
96,Huynh Hai Hanh 95,user95@gmail.com,0900000095,138,4,11885000.0,2025-08-19 00:00:00.000,2,VIP
97,Vu Hai Giang 96,user96@gmail.com,0900000096,0,2,2207000.0,2026-01-04 16:48:26.463,1,Thường xuyên
98,Huynh Thu Vy 97,user97@gmail.com,0900000097,294,1,1726000.0,2025-03-16 00:00:00.000,0,Vãng lai
99,Tran Thanh Hanh 98,user98@gmail.com,0900000098,254,1,2303000.0,2025-04-25 00:00:00.000,0,Vãng lai
100,Nguyen Ngoc An 99,user99@gmail.com,0900000099,335,1,1058000.0,2025-02-03 00:00:00.000,0,Vãng lai
101,Tran Huu Son 100,user100@gmail.com,0900000100,147,2,2629000.0,2025-08-10 00:00:00.000,1,Thường xuyên
102,Dang Van Khanh 101,guest101@gmail.com,0800000101,354,1,1910000.0,2025-01-15 00:00:00.000,0,Vãng lai
103,Dang Ngoc Thinh 102,guest102@gmail.com,0800000102,271,1,939000.0,2025-04-08 00:00:00.000,0,Vãng lai
104,Le Huu Hung 103,guest103@gmail.com,0800000103,246,2,2751000.0,2025-05-03 00:00:00.000,0,Vãng lai
105,Hoang Minh Nghia 104,guest104@gmail.com,0800000104,162,4,7487000.0,2025-07-26 00:00:00.000,2,VIP
106,Nguyen Thi Nghia 105,guest105@gmail.com,0800000105,242,2,3352000.0,2025-05-07 00:00:00.000,0,Vãng lai
107,Vu Thi Dung 106,guest106@gmail.com,0800000106,288,1,248000.0,2025-03-22 00:00:00.000,0,Vãng lai
110,Dang Huu Hanh 109,guest109@gmail.com,0800000109,262,1,2151000.0,2025-04-17 00:00:00.000,0,Vãng lai
111,Hoang Duc Quan 110,guest110@gmail.com,0800000110,160,2,2525000.0,2025-07-28 00:00:00.000,1,Thường xuyên
114,Phan Van Son 113,guest113@gmail.com,0800000113,2,2,2667000.0,2026-01-02 16:48:26.463,1,Thường xuyên
115,Pham Minh Son 114,guest114@gmail.com,0800000114,98,4,5825000.0,2025-09-28 00:00:00.000,2,VIP
117,Le Van Hanh 116,guest116@gmail.com,0800000116,2,3,5091000.0,2026-01-02 16:48:26.463,2,VIP
118,Vo Xuan Dung 117,guest117@gmail.com,0800000117,285,1,2338000.0,2025-03-25 00:00:00.000,0,Vãng lai
119,Nguyen Duc Lan 118,guest118@gmail.com,0800000118,216,1,33000.0,2025-06-02 00:00:00.000,0,Vãng lai
120,Tran Duc Nam 119,guest119@gmail.com,0800000119,212,1,1998000.0,2025-06-06 00:00:00.000,0,Vãng lai
121,Hoang Xuan Giang 120,guest120@gmail.com,0800000120,142,3,6273000.0,2025-08-15 00:00:00.000,2,VIP
122,Nguyễn Văn Test,test@gmail.com,0345678921,12,1,32000.0,2025-12-23 17:43:01.867,1,Thường xuyên
124,Nguyễn Văn Test,test01@gmail.com,0345678921,0,1,46624.0,2026-01-04 16:13:03.590,1,Thường xuyên
